timestamp,total_gb,used_gb,available_gb,usage_percent,cached_gb
1754586662,2014.0,44.0,1970.0,2.2,1054.0
1754586667,2014.0,44.0,1970.0,2.2,1054.0
1754586672,2014.0,45.0,1969.0,2.2,1054.0
1754586677,2014.0,46.0,1968.0,2.3,1054.0
1754586682,2014.0,47.0,1967.0,2.3,1054.0
1754586687,2014.0,48.0,1966.0,2.4,1054.0
1754586692,2014.0,48.0,1966.0,2.4,1054.0
1754586697,2014.0,47.0,1967.0,2.3,1054.0
1754586702,2014.0,48.0,1966.0,2.4,1054.0
1754586707,2014.0,49.0,1965.0,2.4,1054.0
1754586712,2014.0,49.0,1965.0,2.4,1054.0
1754586717,2014.0,49.0,1965.0,2.4,1054.0
1754586722,2014.0,49.0,1965.0,2.4,1054.0
1754586727,2014.0,53.0,1960.0,2.6,1054.0
1754586732,2014.0,54.0,1960.0,2.7,1054.0
1754586737,2014.0,55.0,1959.0,2.7,1054.0
1754586742,2014.0,56.0,1958.0,2.8,1054.0
1754586747,2014.0,57.0,1957.0,2.8,1054.0
1754586752,2014.0,57.0,1957.0,2.8,1054.0
1754586757,2014.0,57.0,1957.0,2.8,1054.0
1754586762,2014.0,57.0,1957.0,2.8,1054.0
1754586767,2014.0,57.0,1957.0,2.8,1054.0
1754586772,2014.0,57.0,1957.0,2.8,1054.0
1754586777,2014.0,56.0,1958.0,2.8,1054.0
1754586782,2014.0,45.0,1968.0,2.2,1054.0
1754586787,2014.0,46.0,1968.0,2.3,1054.0
1754586792,2014.0,45.0,1968.0,2.2,1054.0
1754586797,2014.0,45.0,1968.0,2.2,1054.0
1754586802,2014.0,45.0,1968.0,2.2,1054.0
1754586807,2014.0,45.0,1968.0,2.2,1054.0
1754586812,2014.0,45.0,1968.0,2.2,1054.0
1754586817,2014.0,45.0,1968.0,2.2,1054.0
1754586822,2014.0,46.0,1968.0,2.3,1054.0
1754586827,2014.0,47.0,1967.0,2.3,1054.0
1754586832,2014.0,47.0,1967.0,2.3,1054.0
1754586837,2014.0,48.0,1966.0,2.4,1054.0
1754586842,2014.0,48.0,1965.0,2.4,1054.0
1754586847,2014.0,47.0,1967.0,2.3,1054.0
1754586852,2014.0,48.0,1966.0,2.4,1054.0
1754586857,2014.0,49.0,1965.0,2.4,1054.0
1754586862,2014.0,49.0,1965.0,2.4,1054.0
1754586867,2014.0,49.0,1965.0,2.4,1054.0
1754586872,2014.0,49.0,1965.0,2.4,1054.0
1754586877,2014.0,54.0,1960.0,2.7,1054.0
1754586882,2014.0,54.0,1960.0,2.7,1054.0
1754586887,2014.0,55.0,1959.0,2.7,1054.0
1754586892,2014.0,56.0,1958.0,2.8,1054.0
1754586897,2014.0,57.0,1957.0,2.8,1054.0
1754586902,2014.0,57.0,1957.0,2.8,1054.0
1754586907,2014.0,57.0,1957.0,2.8,1054.0
1754586912,2014.0,58.0,1956.0,2.9,1054.0
1754586917,2014.0,58.0,1956.0,2.9,1054.0
1754586922,2014.0,58.0,1956.0,2.9,1054.0
1754586927,2014.0,56.0,1957.0,2.8,1054.0
1754586932,2014.0,46.0,1968.0,2.3,1054.0
1754586937,2014.0,46.0,1968.0,2.3,1054.0
1754586942,2014.0,46.0,1968.0,2.3,1054.0
1754586947,2014.0,46.0,1968.0,2.3,1054.0
1754586952,2014.0,46.0,1968.0,2.3,1054.0
1754586957,2014.0,46.0,1968.0,2.3,1054.0
1754586962,2014.0,46.0,1968.0,2.3,1054.0
1754586967,2014.0,46.0,1968.0,2.3,1054.0
1754586972,2014.0,46.0,1968.0,2.3,1054.0
1754586977,2014.0,47.0,1967.0,2.3,1054.0
1754586982,2014.0,47.0,1967.0,2.3,1054.0
1754586987,2014.0,48.0,1966.0,2.4,1054.0
1754586992,2014.0,48.0,1966.0,2.4,1054.0
1754586997,2014.0,47.0,1967.0,2.3,1054.0
1754587002,2014.0,48.0,1966.0,2.4,1054.0
1754587007,2014.0,48.0,1965.0,2.4,1054.0
1754587012,2014.0,49.0,1964.0,2.4,1054.0
1754587017,2014.0,50.0,1964.0,2.5,1054.0
1754587022,2014.0,49.0,1964.0,2.4,1054.0
1754587027,2014.0,49.0,1965.0,2.4,1054.0
1754587032,2014.0,53.0,1960.0,2.6,1054.0
1754587037,2014.0,54.0,1960.0,2.7,1054.0
1754587042,2014.0,55.0,1959.0,2.7,1054.0
1754587047,2014.0,55.0,1959.0,2.7,1054.0
1754587052,2014.0,56.0,1958.0,2.8,1054.0
1754587057,2014.0,57.0,1957.0,2.8,1054.0
1754587062,2014.0,57.0,1957.0,2.8,1052.0
1754587067,2014.0,57.0,1957.0,2.8,1052.0
1754587072,2014.0,57.0,1957.0,2.8,1052.0
1754587077,2014.0,57.0,1957.0,2.8,1052.0
1754587082,2014.0,57.0,1957.0,2.8,1052.0
1754587087,2014.0,57.0,1957.0,2.8,1052.0
1754587092,2014.0,57.0,1957.0,2.8,1052.0
1754587097,2014.0,57.0,1957.0,2.8,1052.0
1754587102,2014.0,57.0,1957.0,2.8,1052.0
1754587107,2014.0,57.0,1957.0,2.8,1052.0
1754587112,2014.0,57.0,1957.0,2.8,1052.0
1754587117,2014.0,57.0,1957.0,2.8,1052.0
1754587122,2014.0,57.0,1957.0,2.8,1052.0
1754587127,2014.0,57.0,1957.0,2.8,1052.0
1754587132,2014.0,57.0,1957.0,2.8,1052.0
1754587137,2014.0,57.0,1957.0,2.8,1052.0
1754587142,2014.0,57.0,1957.0,2.8,1052.0
1754587147,2014.0,57.0,1957.0,2.8,1052.0
1754587152,2014.0,57.0,1957.0,2.8,1052.0
1754587157,2014.0,57.0,1957.0,2.8,1052.0
